"filename", "language", "JSON", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "XML", "TypeScript JSX", "Markdown", "GraphQL", "PostCSS", "comment", "blank", "total"
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/axtore/src/test/index.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 28, 191
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/axtore/src/types.ts", "TypeScript", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 42, 68, 434
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/axtore/src/util.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 5, 30, 187
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 7, 48
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/logics/basic.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 17, 85
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/logics/full.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 7, 20, 127
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/logics/types.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 16, 61
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/test.gql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/ginguyen/Desktop/Projects/rms/axtore3/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/ginguyen/Desktop/Projects/rms/axtore3/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 0, 26
"/Users/ginguyen/Desktop/Projects/rms/axtore3/tsconfig.node.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/ginguyen/Desktop/Projects/rms/axtore3/vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 49, 11, 3036, 13, 20, 2, 331, 69, 6, 52, 250, 604, 4443
